German,English
abdanken,to abdicate
Aberkennung,revocation
Abgang,departure
abgedreht,quirky
abgelegene,remote
abgerissen,demolished
abgesehen davon,apart from that
abgezogen,deduction
Abkehr,departure
ablenken,to distract
Ablenkungskampf,a fight or struggle that serves as a diversion/distraction
Abmachungen,Agreement
Abneigung,dislike
abrechnen,to settle account
Abrüstung,disarmament
abschaffen,to abolish
Abschiebung,deportation
Abschluss,degree
Abschreibung,depreciation
abschüssigen,sloping
Abschwung,downturn
absehbar,forseeable
absetzbar,deductible
absichtlich,intentionally
Abstammungsrecht,inheritance law
Absturz,Crash
Abtreibung,abortion
abtreten,to resign
abwegig,absurd
Abwehr,defense
abweichen,to deviate
Abweichung,deviation
abwenden,to avoid
abwertende,insulting
Abwertung,devaluation
Abzuge,deduction
Achselzucken,shrug
adler,eagle
agieren,to operate or act
ahnein,resembe
Akteneinsicht,access to file
Aktiengesellschaft,stock company
Aktienkurse,stock price
Aktionär,shareholder
Aktiva,assets
Albernheit,silliness
Allein von der Wahrnehmung,Just from perception
Alleingänge,Solo efforts
Alleinstehende,single people
Alles läuft/ist Bombe,Everything is great
allmähliche,gradual
altehrwürdigen,venerable
Altersvorsorge,retirement provisions
Ältestenrat,council of elders
am Rande mitbekommen,heard in passing
amtierende,incumbent
an denen,at which
andersdenkende,dissidents
Andeutung,hint
anfällig,susceptible
anfechtbar,contestable
Anfeindung,hostility
Anforderung,requirement
anführungsstriche,quote unquote
angebaut,cultivated
angeblich,allegedly/supposedly
Angebot,offer
angehenden,prospective/aspiring
angeheuert,hired
angeklungen,resonated
angemessene,appropriate
angeprangert,denounced
angerechnet,credited
angestrebt,aimed at eg - Sie hat eine Führungsposition angestrebt
angestrebte,desired
angleichend,adjusting
Angriffspunkte,attack points
anhaltende,persistent
Anhänger,follower
anhängig,pending
animieren,to encourage
Anläufe,start
Anlaufstellen,contact point
anlegen,invest
Anleihenmarkt,bond market
annäherung,convergence
annektierte,annexed
Anordnung,Arrangement
Anpfiff,kick-off
Anreizwirkung,incentive effect
Ansätze,approaches
ansatzweise,rudimentary
Anschaffungskosten,acquisition costs
Anschaffungspreis,purchase price
anschauliche,vivid
anschuldigungen,accusation
ansehnliches (Geld),handsome (money)
Anspannung,tension
ansprechen,to address
Ansprechpartnerinnen,contact persons
anspruchsvoll,demanding/ambitious
ansteckend,contagious
anstehenden,upcoming
Antike,antique
Anwalt,Lawyer
anzünden,to ignite
Appell,appeal
Arbeitsausbeutung,labor exploitation
Arbeitsengtgelt,wages
arbeitsplätze streichen,cut jobs
argloser,unsuspecting
entstehen,to arise
Armutszeugnis,badge of shame
atomare abschreckung,nuclear deterrence
Attentat,assassination
Attest,certificate
auf dem Schoß sitzen,sit on the lap
auf den Kopf zu stellen,to turn upside down
auf die Schliche kommt,gets to the bottom of it
auf eigene Faust,on one's own
auf Eis gelegt,put on hold
auf großem Fuß leben,live extravagantly
aufdringlich,intrusive
auffällig,eye catching
Auffanglager,reception camp for refugees
Auffassungen,opinion
aufgeschlossen,open minded
aufheben,cancel
Aufhebung,termination
Aufklärungsdrohnen,spy drone
Aufmunterung,encouragement
aufrechterhalten,maintain
aufrufen,call
Aufrüstung,rearmament
Aufschlag,serve (as in tennis)
aufschläge,surcharge
aufsehenerregenden,sensational
Aufspüren,track
Auftakt,opening
auftreten,appear
Auftritt,appearance
Aufwand,expense
Aufwandsentschädigung,compensation for expenses or effort
aufweichen,soften
Aufweichung,softening
aufwendige,elaborate
Aufwind,Upwind
aufzeichnen,to record
aufpolieren,to polish
Augenbrauen,eyebrows
augenfällig,obvious
augenhöhe,eye level
Aus meinem Alltag herausgerissen,torn out of my daily routine
ausarten,to get out of control
ausbeuten,to exploit
ausbleibende,missing
ausbrennen,to burn out
ausbügeln,to iron out (a mistake)
Ausdauer,endurance
Auseinandersetzung,discussion
Ausfallrisiken,default risk
ausführlich,detailed
ausgedient,obsolete
ausgegrenzt,excluded
ausgelagert,outsourced
Ausgelastet,occupied
ausgelotet,explored
ausgerottet,exterminated
ausgeschöpft,exhausted (resources/possibilities)
ausgesetzt,suspended
ausgewogen,balanced
ausgrabungen,excavation
Aushilfstätigkeit,temporary job
Auslegung,interpretation
Auslöser,trigger
ausloten,explore
ausreden,excuses
ausrichten,to arrange
aussagen,testify/give evidence
Ausschnitt,cut-out/section
Ausschreibung,Tender (for project)
äußerst,extremely
äußerte,express
Äußerung,statement
ausstrahlung,charisma
auswärtige,foreign
ausweichen,to evade
Ausweitung,expansion
auswendig,learn by heart
auswerten,evaluate
autism,autismus
Azubis,trainees
Bagatellgrenze,de minimis limit
Ballungsräumen,metropolitan
Bauchgefühl,gut feeling
Baukasten,modular system
Baulastträger,building authority
baulich,structural
beachtliche,considerable
bearbeitungsgebühr,processing fee
beauftragen,give an order
Beauftragte,officer
Bedenken,concern
bedenklich,concerning
bedeutsam,significant
Bedrohungen,threats
beeinträchtigt,impaired
Beeinträchtigung,impairment
Beerdigung,burial
befähigen,to enable
befangen,biased
befassen,to deal with
befriedigend,satisfactory
Befugnisse,power of authority
befürchten,to be feared
Befürworter,supporter
Begabungen,talents
Begegnung,encounter
begleiten,accompany
begnadigt,pardon
Begrabnis,funeral
beharren,to insist
Beharrlichkeit,persistence
beherrschen,to master
beherzten,courageous
behoben werden,be fixed
bei verfechtern,with advocates
Beifall spenden,applaud
beigeschmack,"aftertaste, undertone"
beiläufig,casual
beim Bund,at the federal level
Beitritt,accession
bekräftigen,to affirm
Belange,concern
Belastbarkeit,resilience
Belastung,burden
beleben,to revitalize
Beleg,Receipt
belegschaft,workforce
beleuchtet,illuminated
beliebigen,any/arbitrary
beliebigkeit,arbitrariness
beliebtheit,popularity
Belohnung,reward
Belüftung,ventilation
bemängeln,to criticize (something)
bemühen wird,will try
Benennung,naming
berechnungsgrundlage,calculation basis
berechtigt,entitled
Bereicherung,enrichment
berichteten,reported
berichtigen,correct
berücksichtigt,taken into account
berufsbezogene,job related
berufssteckbriefe,career profile
beruften,to appoint
Berufung,vocation
Beschaffungsmethode,procurement method
Beschäftigung,employment
bescheiden,modest
Bescheidenheit,modesty
bescheinigten,confirm
bescheren,bestow
bescheuert,crazy/stupid
beschleunigen,to accelerate
Beschwerden,complaints
beschwerlich,burdensome
beschworene,solemnly vow
besorgniserregend,worrying
besser benehmen,behave better
Bestandsaufnahme,stock
Bestätigung,Confirmation
Bestechung,bribery
bestehend,existing
besticht,impresses, captivates,
bestimmung,determination
Beteiligung,participation
Beten,pray
beteuern,to assert
betrachten,to consider
Betrag,amount
betragen,to amount to
betreffen,to affect
Bettdecke,duvet
beugen,to bend
beurteilt,assessed
Beute,prey
Bevormundung,paternalism
bevorstehende,upcoming
bevorzugt,preferred
bewachtes,guarded
bewährte,proven
Bewährung frei,parole free
bewältigenden,coping
Beweggründe,motives
beweglichkeit,agility
Bewerbung,Application
Bewundere,Admire
bewusstsein,consciousness
bewusstseinswandel,change in consciousness
bezahlbares,affordable
Bezug,Return
bezüglich,with reference to
Bezugsperson,reference person or trusted person
bilderreich,rich in images
Binnenschiffen,inland waterway vessels
Bisher,So far
blechdach,sheet metal roof
bleibende,permanent
Blessuren,injuries
Blickwinkel,perspective
Bodenschätze,mineral resource
bodenstandlich,down to earth
Bogenschiessen,arrow shooting
Bohnen,beans
Bohrplattform,drilling platform
Bonität,credit worthiness
Borreliose,Lyme disease
Böswillige,malicious
brain,gehirns
Bräsigkeit,arrogance
brathähnchen,roast chicken
brauchbare,useful
Brautkleid,wedding dress
Brennpunkt,focal point
Brennstoffe,fuels
Brotzeit,snack
Bruch,fracture
Buchhalter,accountant
Buchungssatz,journal entry
Bundesmittel,federal fund
Bundeswehr,German Armed Forces
Bürgschaft,guarantee
Bwl betriebwirtschaftlehrer,business adm
causes,ursachen
Chirurg,surgeon
clear,deutig
contact,berührung
crime,verbrechen
Currency guardian,Währungshütern
Dachfirma,umbrella company
daher,therefore
Dampfablassens,letting off the steam
darauf gedrängt,urged
darauffolgenden,subsequent
darlehen,loan
das Benachteiligen,disadvantage
das Betätigungsverbot,prohibition of activity
das Erfassungssystem,recording system
Das Geraune,whispering
Das Tor,The gate
das Völkerrecht,international law
das Werk,Factory
Das Zepter,scepter
Datenauswertung,data analysis
Dauerauftrag,standing order
Dauerbrenner,perennial favorite
declarations,angaben
dekadent,"self-indulgent, morally or culturally declining"
dementsprechend,accordingly
Dementsprechend,accordingly
demontage,dismantling
den rücken kehren,turn one's back
denkverbote,prohibition on thinking
der Arbeitsrechtler,labor lawyer
der Aufstand,uprising
der Beitrittskandidat,candidate country for Schengen visa
der Bildband,illustrated book
Der Brunnen,the fountain
der daraus sprießt,That sprouts from it
der Ehrenhof,courtyard
der Etat,budget
der Kohlenstoffmarkt,carbon market
der Leistungsdruck,pressure to perform
der Probelauf,test run
der sonne knallt,the sun is blazing
der Sprengsatz,explosive device
der Tiefbahnhof,underground train station
der Übergriff,assault
der Vergeltungszoll,retaliatory tariff
derweil,meanwhile
derweil,meanwhile
derzeit,currently
development,entwicklung
dichtgemacht,closed off
die Abhilfe,remedy
die Abwechslung,variety
die Auflockerungen,loosening
die Augen nicht verschließen,not turn a blind eye
die Bagatellgrenze,minimum limit
die Bemessungsmethode,design method
die Berichterstattung,reporting
die Beweisvernichtung,destruction of evidence
die Buchvorlage,book template
die Einberufungsbefehle,conscription orders
die Entzerrung,equalization
die Erdbebenwarte,earthquake observatory
die Genossenschaft,cooperative
die Gleitbomben,glide bombs
die Gleitschirmfliegerin,paraglider
die Grunderwerbsteuer,real estate transfer tax
die Heranwachsende,adolescent
die Insolvenzverschleppung,delaying insolvency
die Kehrtwende,u turn
die Kreuzfahrt,cruise
die Lebensstationen,stage of life
die Liegestützen,push up
Die Luft bei mir raus,run out of energy
die Notenbank,central bank
die Realität gestalten,shape the reality
die Rechenschaft,accountability
die Sau rauslassen,let loose
die Schattenseite,dark side
die Schiene,the rail
die Schnittstellen,the interfaces
die Schrammen,scratches
die Schwellenländer,emerging markets
die segel streichen,abandon something
die Sprösslinge,offspring
die Stellungnahme,opinion
die Stichworte,keywords
die Stimmung ist im Keller,very bad mood
die Tiefstwerte,lowest value
die Turnschuhe,sneaker
die Unterbindung,prevention
die Urkunde,Certificate
die Verhaltensauffälligkeiten,behavioral problem
die Vertriebsaktionen,sales campaign
die Vulkangürtel,seismic belt
die Wutausbrüche,burst of anger
Die Zahlen geben das nicht her,the numbers don't support that
die Zerstreuung,distraction
die Zielgruppe des Ladens,target customer of the shop
die Zuneigung,affection
die Zurückhaltung,restraint
die Zweckgemeinschaft,community of purpose
diejenigen,those
diffamierend,defamatory
Digitale Dienstleistung,Digital service
dishwasher,geschirrspüler
Domplatz,cathedral square
dotieren,endow
drahtzieher,mastermind
drängende,urgent
dreckig,dirty
drehbuchautor,screenwriter
drehort,filming location
dringlichkeitssitzung,emergency meeting
drittstaaten,third countries
Drohkulisse,Threatening backdrop
Druck aufbauen,Build up pressure
Druckmittel,Printing medium
dschungel,jungle
duldung,toleration
Düngemittel,fertilizer
Dunkelflaute,The period when a wind turbine or solar panel doesn't produce electricity
Dunkelziffer,dark figure
durch die Gegend reisen,travel around
Durchbruch,Breakthrough
durchdreht,goes crazy
durchkreuzen,frustrate
Durchlässigkeit,permeability
durchlässigkeit,permeability
durchlitten,suffered
durchlitten,suffered
durchsetzt,enforce
durchsickern,leakage
Dürre,drought
Dutzen,dozen
Ebnen,pave
eckpunkt,key point
effort,bemühungen
Ehrenamt,volunteer
Ehrgeiz,ambition
ehrgeizig,ambitious
ehrgeizig,ambitious
eidechse,lizard
eidesstattliche versicherung,oath
eigenartig,strange
Eigenmächtige,unauthorized
eigentum,property/ownership
Eigenverbrauch,self-consumption
Eignungtests,aptitude tests
Ein Ass im Ärmel haben,to have a hidden advantage
Einbettung,embedding
Einbeziehung,Inclusion
einbinden,integrate
Einbußen, shrink
eindeutige,unambiguous
eine Karriere einschlagen,to embark on a career
eine Zahl hinter dem Komma,one decimal point
eingebracht,introduced
Eingebung,Inspiration
Eingeklemmt,trapped
eingeleitet,initiated
eingestuften,Classified
Einhaltung,compliance
einheimischen,local
einhelligen,unanimous
Einkaufsbummel,shopping trip
Einkommen,Income
Einkünfte,income
Einleihen,Give In
einlenken,give in
einleuchten,clear
Einmalige,unique
Einmischung,interference
Einnahmeausfälle,loss of income
einordnen,categorize
einordnen,classify
einräumen,admit
einrichtung,furnishing
Einsatz,mission
einsatzfähig,operational
einschneidende,drastic
Einschnitte,incisions
einschüchterungen,intimidation
einseitig,one sided
Einsicht,insight
einst,once
Einstiegsfrage,introductory question
einstig,formerly
eintopf,pot
eintopfen,pot
Eintreffen,arrival
einwandfrei,flawless
einweihen,inaugurate
Einweihung,inauguration
Einweihung,inauguration
einzelfall,isolated case
Einzelfallgerechtigkeit,case by case justice
Einzelheiten,details
einzigartig,unique
einzuschleusen,infiltrate
einzuschleussen,infiltrate
Eisenbahn,locomotive
eisenschale,iron bowl
eklatantes,blatant
eklatantes,glaring
emissionsminderung,emission reduction
empfänglich,susceptible
emphasized,betonte
empört,outraged
Endlager,final disposal
Energiewende,energy transition
Engen,Narrow
enjoy the power of youth,genieße die kraft und sudheit deine jungen
entartet,degenerate
entbehrungsreichen,deprived
Ente,duck
entflechten,demerge
entführen,kidnap
entgegen fachlichem,counter professional
entgleist,derailed
Enthaltungen,abstentions
entlastung,relief
entlehntes,borrowed
entlohnen,to reward or remunerate
entrüstet,outraged
Entschädigung,compensation
entscheidenden Zeitpunkt,crucial moment
entsprechende,corresponding
entwendet,stolen
entziffern,decode
entziffern,dechiper
entzogen,withdrawn
entzogen,withdraw
entzündete,ignite
Erachtens,in my opinion
erbeuteten,captured
erblich,hereditary
erblich,hereditary
erbrechen,vomit
erbschaftsteuer,inheritance tax
erdgas,natural gas
Erdkreis,globe
Erdnussbutter,peanut butter
erdrutsche,landslide
erfassung,capture
erfindung,invention
Erforschung,exploration
erfreuen sich,enjoy
ergänzung,addition
Ergebnis,result
ergreifen,take action
erhältlich,available
erhaltung,conversation
erhaltung,conservation
Erheblich,Significantly
erhellenden,illuminating
Erkenntnisgewinn,Knowledge gain
Erkenntnisse,findings
erkunde,explore
Erlaubnis,Permission
erlaütern,explain
erlegen,killing
erlegen,kill
Ermessen,appreciate
ermitteln,determine
Ermittlungen,"investigation
""Die Ermittlungen führten zur Festnahme des Verdächtigen.""
The investigation led to the arrest of the suspect."
ermudend,tiring
ermutige,encourage
Ernennung,appointment
erneut,anew
ernst nehmen,take seriously
ernstfall,emergency
ernsthafte,serious
ernüchternd,sobering
ernüchternden,sobering
ernüchterung,disillusion
erobert,conquered
erobert,conquers
Erpressungen,blackmail
erschüttert,shock
erschweren,complicate
erschwinglich,affordable
Ersparnisse,saving
Erstattung,refund or reimbursement
erstaunliche,amazing
Ertragen,Endure/yield
ertragen,endure
erträglich,bearable
ertragreiche,profitable
ertrinken,drown
erwähnten,mention
erwartungsgemäß,as expected
Erwerbsminderung,incapacity for work / reduction in earning capacity
erwerbstätig,employed
erzeugen,"generate
""Die Solaranlage erzeugt Strom.""
The solar panel generates electricity."
Es fällt ihr leicht,it's easy for her
Es fällt ihr schwer,it's difficult for her
Essenausgabe,Food distribution
essendunst,food steam
Estland,Estonia
etwas verschütten,spill
Fachbegriff,technical term
fachmeinung,expert opinion
Fachrichtung,specialization (field of study or medical field)
Fähigkeit,Ability
Fahne,flag
fahren Schlitten,ride a sleigh
Fahrradkolonne,bicycle colony
Fahrt aufgenommen,journey started
falsch verbunden,Wrong number
falsche Anreize,false incentive
fälschungen,forgeries
faltenlose,wrinkle free
Fehlbildungen,malformations
Fehlinformationen,misinformation
feindselig,hostile
feindselige,hostile
Felsbilder,rock painting
Fernbedienung,Remote control
fernost,Far East
Fernverkehr,long-distance traffic
fertigstellung,completion
feststellen,notice
fettlöslich,fat-soluble
feuchtigkeit,moisture
Finanzierung,financing
finanzspritze,financial injection
Firmenflotten,company fleets
flächendeckenden,comprehensive
flächendeckenden,comprehensive
flanieren,stroll
flapsig,flippant or careless
Fledermaus,bat
fleischlastige,meat-heavy
Fließgeld,cash flow
Flitterwoche,honeymoon
Flugblätter,leaflet
flüstern,whisper
Föderalismus,federalism
folgendermassen,as follows
folgendermaßen,as follows
folgenreiche,momentous
fördergelder,funding
forschende,researcher
Forschung,Research
fortbewegungsmittel,means of transport
fragwürdig,questionable
Frauenrat,women's council
freezer,gefrierfach
freiberuflich,freelance
freiluftmuseum,open air museum
freiwerdende richterposten,vacant judicial position
Friedensschluss,peace agreement
Friedensvertrag,Peace Treaty
fristgerecht,on time
fristlos kündigen,terminate without notice
Frontverlauf,frontline
fulminanter,brilliant
fundiert,well-founded
fundiert,well founded
fünfköpfige,five members
funktionierendes,functioning
funktionstüchtig,functioning
Fuß fassen,gain a foothold
Galopp,to learn in a rush / very quickly
Gebietsabtretungen,territory cessions
gebrauchsgegenstand,everyday object
Gebrauchstauglichkeit,usability
Gebrechlichkeit,frailty
geburtenstarke Jahrgänge,baby boomers
Gedampft,"1. Steamed (food), 2. Muted (voice)"
Gedankengang,train of thought
gefährden,endanger
gefangenen,prisoners
Gefieder,feather
Gefragter,more sought after
gefühlsmäßig,emotionally
Gegebenheiten,circumstances
gegenseitigkeit,reciprocity
Gegensteuern,Counteract
Gehbehinderung,disability (related to walking)
Geheimhaltung,secrecy
geheimnis lüften,reveal the secret
Gehen Sie schon voraus,Go ahead
gehoben,sophisticated
Gehwege,sidewalks
Geiseln,captive
geisteswissenschaftliches,humanities
geistige Kapazitat,mental capacity
geistlicher,clergyman
geklaut,stolen
